Temperature,Humidity
18,93
18,92
18,92
18,92
19,93
19,93
19,93
19,93
19,93
19,93
19,93
19,93
19,93
19,93
19,93
19,93
19,94
19,94
19,94
19,94
20,94
20,94
20,94
20,94
20,94
20,94
20,94
20,94
20,94
20,94
20,94
20,94
20,93
21,93
21,93
21,93
21,93
21,93
21,93
21,93
21,93
21,93
21,93
21,93
21,93
21,93
21,94
21,94
21,94
21,94
21,94
21,94
21,94
21,94
21,94
22,94
22,94
22,94
22,94
22,94
22,94
22,94
22,94
22,94
22,94
22,94
22,94
22,94
22,94
22,94
22,94
22,94
22,94
22,94
23,94
23,94
23,94
23,94
23,94
23,94
23,94
23,94
23,94
23,94
23,94
23,94
23,94
23,94
23,94
23,94
23,94
23,94
23,94
23,94
23,94
23,94
23,94
23,94
23,94
23,94
23,94
23,94
23,94
23,94
23,94
23,94
23,94
23,94
23,94
23,94
23,94
23,94
23,94
24,94
24,94
24,94
24,94
24,94
24,94
24,94
24,94
24,94
24,94
24,94
24,94
24,94
24,94
24,94
24,94
24,94
24,94
24,94
24,94
24,94
24,94
24,94
24,94
24,94
24,94
24,94
24,94
24,94
24,94
24,94
24,94
24,94
24,94
24,94
24,94
24,94
24,94
24,94
24,94
24,94
24,94
24,94
24,94
24,94
24,93
24,94
24,93
24,93
24,93
24,93
24,93
24,93
24,93
24,93
24,93
24,93
24,93
25,93
25,93
25,93
25,93
25,93
25,93
25,93
25,93
25,93
25,93
25,93
25,93
25,93
25,93
25,93
25,93
25,93
25,93
25,93
25,93
25,93
25,93
25,93
25,93
25,93
25,93
25,93
25,93
25,93
25,93
25,93
25,93
25,93
25,93
25,93
25,93
25,93
25,93
25,93
25,93
25,93
25,93
25,93
25,93
25,93
25,92
25,92
25,92
25,92
25,92
25,92
25,92
25,92
25,92
25,92
25,92
25,92
25,92
25,92
25,92
25,92
25,92
25,92
25,92
25,92
25,92
25,92
25,92
25,92
25,92
25,92
25,92
25,92
25,92
25,92
25,92
25,92
25,92
25,92
26,91
26,92
26,91
26,91
26,91
26,91
26,91
26,91
26,91
26,91
26,91
26,91
26,91
26,91
26,91
26,91
26,91
26,91
26,91
26,91
26,91
26,91
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,89
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,89
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
26,90
